('There is not a rock & roll album in colorado.', 'There is not a music album in colorado.', False)
('There is not a classic rock album in montana.', 'There is not a music album in montana.', False)
('There is not a classic rock album in arizona.', 'There is not a rock & roll album in arizona.', False)
('There is not a alternative rock album in connecticut.', 'There is not a music album in connecticut.', False)
('There is not a alternative rock album in indiana.', 'There is not a rock & roll album in indiana.', False)
('There is not a instrumental rock album in purdue university.', 'There is not a music album in purdue university.', False)
('There is not a instrumental rock album in michigan.', 'There is not a rock & roll album in michigan.', False)
('There is not a space rock album in connecticut.', 'There is not a music album in connecticut.', False)
('There is not a space rock album in nevada.', 'There is not a rock & roll album in nevada.', False)
('There is not a psychadelic rock album in idaho.', 'There is not a music album in idaho.', False)
('There is not a psychadelic rock album in mississippi.', 'There is not a rock & roll album in mississippi.', False)
('There is not a hard rock album in chicago.', 'There is not a music album in chicago.', False)
('There is not a hard rock album in arkansas.', 'There is not a rock & roll album in arkansas.', False)
('There is not a soft rock album in connecticut.', 'There is not a music album in connecticut.', False)
('There is not a soft rock album in purdue university.', 'There is not a rock & roll album in purdue university.', False)
('There is not a punk rock album in nebraska.', 'There is not a music album in nebraska.', False)
('There is not a punk rock album in georgia.', 'There is not a rock & roll album in georgia.', False)
('There is not a folk rock album in michigan.', 'There is not a music album in michigan.', False)
('There is not a folk rock album in maryland.', 'There is not a rock & roll album in maryland.', False)
('There is not a progressive rock album in kentucky.', 'There is not a music album in kentucky.', False)
('There is not a progressive rock album in idaho.', 'There is not a rock & roll album in idaho.', False)
('There is not a psychedelic rock album in louisiana.', 'There is not a music album in louisiana.', False)
('There is not a psychedelic rock album in iowa.', 'There is not a rock & roll album in iowa.', False)
('There is not a symphonic rock album in alaska.', 'There is not a music album in alaska.', False)
('There is not a symphonic rock album in kentucky.', 'There is not a rock & roll album in kentucky.', False)
('There is not a blues album in paris.', 'There is not a music album in paris.', False)
('There is not a country album in mississippi.', 'There is not a music album in mississippi.', False)
('There is not a dance album in michigan.', 'There is not a music album in michigan.', False)
('There is not a disco album in michigan.', 'There is not a music album in michigan.', False)
('There is not a funk album in colorado.', 'There is not a music album in colorado.', False)
('There is not a grunge album in colorado.', 'There is not a music album in colorado.', False)
('There is not a hip-hop album in illinois.', 'There is not a music album in illinois.', False)
('There is not a jazz album in maine.', 'There is not a music album in maine.', False)
('There is not a metal album in idaho.', 'There is not a music album in idaho.', False)
('There is not a death metal album in arkansas.', 'There is not a music album in arkansas.', False)
('There is not a death metal album in london.', 'There is not a metal album in london.', False)
('There is not a heavy metal album in chicago.', 'There is not a music album in chicago.', False)
('There is not a heavy metal album in minnesota.', 'There is not a metal album in minnesota.', False)
('There is not a black metal album in arkansas.', 'There is not a music album in arkansas.', False)
('There is not a black metal album in san francisco.', 'There is not a metal album in san francisco.', False)
('There is not a thrash metal album in indiana.', 'There is not a music album in indiana.', False)
('There is not a thrash metal album in montana.', 'There is not a metal album in montana.', False)
('There is not a proto-metal album in iowa.', 'There is not a music album in iowa.', False)
('There is not a proto-metal album in louisiana.', 'There is not a metal album in louisiana.', False)
('There is not a new age album in maine.', 'There is not a music album in maine.', False)
('There is not a oldies album in massachusetts.', 'There is not a music album in massachusetts.', False)
('There is not a pop album in montana.', 'There is not a music album in montana.', False)
('There is not a r&b album in missouri.', 'There is not a music album in missouri.', False)
('There is not a rap album in chicago.', 'There is not a music album in chicago.', False)
('There is not a reggae album in florida.', 'There is not a music album in florida.', False)
('There is not a techno album in purdue university.', 'There is not a music album in purdue university.', False)
('There is not a ska album in purdue university.', 'There is not a music album in purdue university.', False)
('There is not a classical album in alabama.', 'There is not a music album in alabama.', False)
('There is not a instrumental album in colorado.', 'There is not a music album in colorado.', False)
('There is not a bass album in idaho.', 'There is not a music album in idaho.', False)
('There is not a soul album in purdue university.', 'There is not a music album in purdue university.', False)
('There is not a punk album in michigan.', 'There is not a music album in michigan.', False)
('There is not a gothic album in maryland.', 'There is not a music album in maryland.', False)
('There is not a darkwave album in hawaii.', 'There is not a music album in hawaii.', False)
('There is not a electronic album in alabama.', 'There is not a music album in alabama.', False)
('There is not a rave album in arkansas.', 'There is not a music album in arkansas.', False)
('There is not a showtunes album in london.', 'There is not a music album in london.', False)
('There is not a lo-fi album in purdue university.', 'There is not a music album in purdue university.', False)
('There is not a polka album in iowa.', 'There is not a music album in iowa.', False)
('There is not a retro album in missouri.', 'There is not a music album in missouri.', False)
('There is not a folk album in indiana.', 'There is not a music album in indiana.', False)
('There is not a bluegrass album in hawaii.', 'There is not a music album in hawaii.', False)
('There is not a big band album in michigan.', 'There is not a music album in michigan.', False)
('There is not a opera album in kentucky.', 'There is not a music album in kentucky.', False)
('There is not a symphony album in new york.', 'There is not a music album in new york.', False)
('There is not a club music album in delaware.', 'There is not a music album in delaware.', False)
('There is not a tango album in connecticut.', 'There is not a music album in connecticut.', False)
('There is not a samba album in san francisco.', 'There is not a music album in san francisco.', False)
('There is not a ballad album in idaho.', 'There is not a music album in idaho.', False)
('There is not a acapella album in delaware.', 'There is not a music album in delaware.', False)
('There is not a salsa album in alaska.', 'There is not a music album in alaska.', False)
('There is not a jpop album in louisiana.', 'There is not a music album in louisiana.', False)
('There is not a synthpop album in arkansas.', 'There is not a music album in arkansas.', False)
('There is not a automobile in maine.', 'There is not a vehicle in maine.', False)
('There is not a car in idaho.', 'There is not a vehicle in idaho.', False)
('There is not a car in arkansas.', 'There is not a automobile in arkansas.', False)
('There is not a truck in nevada.', 'There is not a vehicle in nevada.', False)
('There is not a truck in mississippi.', 'There is not a automobile in mississippi.', False)
('There is not a aircraft in california.', 'There is not a vehicle in california.', False)
('There is not a airplane in arizona.', 'There is not a vehicle in arizona.', False)
('There is not a airplane in london.', 'There is not a aircraft in london.', False)
('There is not a blimp in kansas.', 'There is not a vehicle in kansas.', False)
('There is not a blimp in montana.', 'There is not a aircraft in montana.', False)
('There is not a zeppelin in massachusetts.', 'There is not a vehicle in massachusetts.', False)
('There is not a zeppelin in michigan.', 'There is not a aircraft in michigan.', False)
('There is not a helicopter in colorado.', 'There is not a vehicle in colorado.', False)
('There is not a helicopter in missouri.', 'There is not a aircraft in missouri.', False)
('There is not a watercraft in indiana.', 'There is not a vehicle in indiana.', False)
('There is not a train in connecticut.', 'There is not a vehicle in connecticut.', False)
('There is not a hovercraft in connecticut.', 'There is not a vehicle in connecticut.', False)
('There is not a eukaryote in california.', 'There is not a lifeform in california.', False)
('There is not a animal in kentucky.', 'There is not a lifeform in kentucky.', False)
('There is not a animal in michigan.', 'There is not a eukaryote in michigan.', False)
('There is not a aardvark in delaware.', 'There is not a lifeform in delaware.', False)
('There is not a aardvark in alaska.', 'There is not a eukaryote in alaska.', False)
('There is not a aardvark in maryland.', 'There is not a animal in maryland.', False)
('There is not a albatross in michigan.', 'There is not a lifeform in michigan.', False)
('There is not a albatross in maine.', 'There is not a eukaryote in maine.', False)
('There is not a albatross in kansas.', 'There is not a animal in kansas.', False)
('There is not a alligator in maryland.', 'There is not a lifeform in maryland.', False)
('There is not a alligator in iowa.', 'There is not a eukaryote in iowa.', False)
('There is not a alligator in hong kong.', 'There is not a animal in hong kong.', False)
('There is not a alpaca in illinois.', 'There is not a lifeform in illinois.', False)
('There is not a alpaca in san francisco.', 'There is not a eukaryote in san francisco.', False)
('There is not a alpaca in florida.', 'There is not a animal in florida.', False)
('There is not a ant in iowa.', 'There is not a lifeform in iowa.', False)
('There is not a ant in chicago.', 'There is not a eukaryote in chicago.', False)
('There is not a ant in michigan.', 'There is not a animal in michigan.', False)
('There is not a anteater in hawaii.', 'There is not a lifeform in hawaii.', False)
('There is not a anteater in california.', 'There is not a eukaryote in california.', False)
('There is not a anteater in new york.', 'There is not a animal in new york.', False)
('There is not a antelope in missouri.', 'There is not a lifeform in missouri.', False)
('There is not a antelope in purdue university.', 'There is not a eukaryote in purdue university.', False)
('There is not a antelope in kansas.', 'There is not a animal in kansas.', False)
('There is not a ape in hong kong.', 'There is not a lifeform in hong kong.', False)
('There is not a ape in hawaii.', 'There is not a eukaryote in hawaii.', False)
('There is not a ape in purdue university.', 'There is not a animal in purdue university.', False)
('There is not a armadillo in mississippi.', 'There is not a lifeform in mississippi.', False)
('There is not a armadillo in minnesota.', 'There is not a eukaryote in minnesota.', False)
('There is not a armadillo in florida.', 'There is not a animal in florida.', False)
('There is not a donkey in nevada.', 'There is not a lifeform in nevada.', False)
('There is not a donkey in maine.', 'There is not a eukaryote in maine.', False)
('There is not a donkey in indiana.', 'There is not a animal in indiana.', False)
('There is not a baboon in maryland.', 'There is not a lifeform in maryland.', False)
('There is not a baboon in kansas.', 'There is not a eukaryote in kansas.', False)
('There is not a baboon in idaho.', 'There is not a animal in idaho.', False)
('There is not a badger in purdue university.', 'There is not a lifeform in purdue university.', False)
('There is not a badger in paris.', 'There is not a eukaryote in paris.', False)
('There is not a badger in chicago.', 'There is not a animal in chicago.', False)
('There is not a barracuda in arkansas.', 'There is not a lifeform in arkansas.', False)
('There is not a barracuda in kentucky.', 'There is not a eukaryote in kentucky.', False)
('There is not a barracuda in hawaii.', 'There is not a animal in hawaii.', False)
('There is not a bat in florida.', 'There is not a lifeform in florida.', False)
('There is not a bat in colorado.', 'There is not a eukaryote in colorado.', False)
('There is not a bat in montana.', 'There is not a animal in montana.', False)
('There is not a bear in louisiana.', 'There is not a lifeform in louisiana.', False)
