('The hgv driver went to colorado.', 'The hgv driver visited colorado yesterday', False)
('The aircraft designer went to illinois.', 'The aircraft designer visited illinois today', False)
('The opera singer went to maine.', 'The opera singer visited maine last week', False)
('The traffic warden went to idaho.', 'The traffic warden visited idaho last year', False)
('The zoo keeper went to iowa.', 'The zoo keeper visited iowa last month', False)
('The injection moulder went to minnesota.', 'The injection moulder visited minnesota a fortnight ago', False)
('The catering consultant went to alabama.', 'The catering consultant visited alabama a decade ago', False)
('The assessor went to connecticut.', 'The assessor visited connecticut two years ago', False)
('The student went to iowa.', 'The student visited iowa five years ago', False)
('The instrument maker went to alaska.', 'The instrument maker visited alaska ten years ago', False)
('The furniture remover went to maryland.', 'The furniture remover visited maryland twenty years ago', False)
('The adjustor went to alabama.', 'The adjustor visited alabama two days ago', False)
('The trading standards went to new york.', 'The trading standards visited new york three days ago', False)
('The press setter went to missouri.', 'The press setter visited missouri five days ago', False)
('The rent collector went to california.', 'The rent collector visited california one week ago', False)
('The road safety officer went to connecticut.', 'The road safety officer visited connecticut two weeks ago', False)
('The slater went to alabama.', 'The slater visited alabama three weeks ago', False)
('The zoo manager went to montana.', 'The zoo manager visited montana one month ago', False)
('The employment went to missouri.', 'The employment visited missouri a semester ago', False)
('The seaman went to chicago.', 'The seaman visited chicago a summer ago', False)
('The social worker went to florida.', 'The social worker visited florida last summer', False)
('The cargo operator went to purdue university.', 'The cargo operator visited purdue university last semester', False)
('The valve technician went to purdue university.', 'The valve technician visited purdue university six months ago', False)
('The plater went to alabama.', 'The plater visited alabama one year ago', False)
('The horse dealer went to colorado.', 'The horse dealer visited colorado five years ago', False)
('The handyman went to idaho.', 'The handyman visited idaho ten years ago', False)
('The nurse went to purdue university.', 'The nurse visited purdue university twenty years ago', False)
('The wood cutter went to michigan.', 'The wood cutter visited michigan thirty years ago', False)
('The marine geologist went to maryland.', 'The marine geologist visited maryland fifty years ago', False)
('The patrolman went to hawaii.', 'The patrolman visited hawaii a year ago', False)
