,hypothesis,premis,label,category
0,The cable jointer went to hong kong more than a week ago., The cable jointer went to hong kong more than a month ago,False,htemporal
1,The operator went to illinois more than a week ago., The operator went to illinois more than a month ago,False,htemporal
2,The nursing assistant went to maryland more than a day ago., The nursing assistant went to maryland more than a year ago,False,htemporal
3,The lighterman went to georgia more than a day ago., The lighterman went to georgia more than a month ago,False,htemporal
4,The cafe owner went to hong kong more than a day ago., The cafe owner went to hong kong more than a week ago,False,htemporal
5,The radio operator went to missouri more than a day ago., The radio operator went to missouri more than a week ago,False,htemporal
6,The payroll supervisor went to london more than a hour ago., The payroll supervisor went to london more than a year ago,False,htemporal
7,The graphologist went to georgia more than a hour ago., The graphologist went to georgia more than a month ago,False,htemporal
8,The hospital warden went to kansas more than a hour ago., The hospital warden went to kansas more than a month ago,False,htemporal
9,The marine engineer went to maine more than a hour ago., The marine engineer went to maine more than a month ago,False,htemporal
10,The pig manager went to nebraska more than a hour ago., The pig manager went to nebraska more than a month ago,False,htemporal
11,The ceiling fixer went to delaware more than a hour ago., The ceiling fixer went to delaware more than a day ago,False,htemporal
12,The shoe maker went to connecticut more than a hour ago., The shoe maker went to connecticut more than a day ago,False,htemporal
13,The magician went to massachusetts more than a minute ago., The magician went to massachusetts more than a year ago,False,htemporal
14,The project engineer went to san francisco more than a minute ago., The project engineer went to san francisco more than a month ago,False,htemporal
15,The merchant seaman went to nevada more than a minute ago., The merchant seaman went to nevada more than a week ago,False,htemporal
16,The car salesman went to san francisco more than a minute ago., The car salesman went to san francisco more than a day ago,False,htemporal
17,The shipyard worker went to arkansas more than a minute ago., The shipyard worker went to arkansas more than a day ago,False,htemporal
18,The television director went to michigan more than a minute ago., The television director went to michigan more than a hour ago,False,htemporal
19,The car delivery driver went to louisiana more than a second ago., The car delivery driver went to louisiana more than a month ago,False,htemporal
20,The butchery manager went to chicago more than a second ago., The butchery manager went to chicago more than a week ago,False,htemporal
21,The blacksmith went to louisiana more than a second ago., The blacksmith went to louisiana more than a day ago,False,htemporal
22,The envoy went to kentucky more than a second ago., The envoy went to kentucky more than a day ago,False,htemporal
23,The radio presenter went to hawaii more than a second ago., The radio presenter went to hawaii more than a day ago,False,htemporal
24,The chicken chaser went to arizona more than a second ago., The chicken chaser went to arizona more than a minute ago,False,htemporal
25,The messenger went to delaware more than a second ago., The messenger went to delaware more than a minute ago,False,htemporal
26,The audit manager went to paris more than a millisecond ago., The audit manager went to paris more than a month ago,False,htemporal
27,The technical instructor went to michigan more than a millisecond ago., The technical instructor went to michigan more than a month ago,False,htemporal
28,The blind fitter went to michigan more than a millisecond ago., The blind fitter went to michigan more than a day ago,False,htemporal
29,The sand blaster went to colorado more than a millisecond ago., The sand blaster went to colorado more than a day ago,False,htemporal
