('The turtle is in the universe.', 'The turtle is in the milky way galaxy.', False)
('The cheetah is in the universe.', 'The cheetah is in our solar system.', False)
('The termite is in the milky way galaxy.', 'The termite is in our solar system.', False)
('The echidna is in the universe.', 'The echidna is on the sun.', False)
('The beaver is in the milky way galaxy.', 'The beaver is on the sun.', False)
('The mouse is in our solar system.', 'The mouse is on the sun.', False)
('The viper is in the universe.', 'The viper is on mercury.', False)
('The pony is in the milky way galaxy.', 'The pony is on mercury.', False)
('The wombat is in our solar system.', 'The wombat is on mercury.', False)
('The oyster is in the universe.', 'The oyster is on venus.', False)
('The gull is in the milky way galaxy.', 'The gull is on venus.', False)
('The deer is in our solar system.', 'The deer is on venus.', False)
('The buffalo is in the universe.', 'The buffalo is on earth.', False)
('The wolf is in the milky way galaxy.', 'The wolf is on earth.', False)
('The emu is in our solar system.', 'The emu is on earth.', False)
('The jaguar is in the universe.', 'The jaguar is in antarctica.', False)
('The alpaca is in the milky way galaxy.', 'The alpaca is in antarctica.', False)
('The lemur is in our solar system.', 'The lemur is in antarctica.', False)
('The pigeon is on earth.', 'The pigeon is in antarctica.', False)
('The anteater is in the universe.', 'The anteater is in north america.', False)
('The weasel is in the milky way galaxy.', 'The weasel is in north america.', False)
('The newt is in our solar system.', 'The newt is in north america.', False)
('The cattle is on earth.', 'The cattle is in north america.', False)
('The dinosaur is in the universe.', 'The dinosaur is in the united states of america.', False)
('The falcon is in the milky way galaxy.', 'The falcon is in the united states of america.', False)
('The baboon is in our solar system.', 'The baboon is in the united states of america.', False)
('The tiger is on earth.', 'The tiger is in the united states of america.', False)
('The okapi is in north america.', 'The okapi is in the united states of america.', False)
('The toad is in the universe.', 'The toad is in alabama.', False)
('The hyena is in the milky way galaxy.', 'The hyena is in alabama.', False)
('The trout is in our solar system.', 'The trout is in alabama.', False)
('The squirrel is on earth.', 'The squirrel is in alabama.', False)
('The grasshopper is in north america.', 'The grasshopper is in alabama.', False)
('The weasel is in the united states of america.', 'The weasel is in alabama.', False)
('The giraffe is in the universe.', 'The giraffe is in alaska.', False)
('The squid is in the milky way galaxy.', 'The squid is in alaska.', False)
('The vulture is in our solar system.', 'The vulture is in alaska.', False)
('The skunk is on earth.', 'The skunk is in alaska.', False)
('The mandrill is in north america.', 'The mandrill is in alaska.', False)
('The locust is in the united states of america.', 'The locust is in alaska.', False)
('The badger is in the universe.', 'The badger is in american samoa.', False)
('The goldfinch is in the milky way galaxy.', 'The goldfinch is in american samoa.', False)
('The dogfish is in our solar system.', 'The dogfish is in american samoa.', False)
('The oryx is on earth.', 'The oryx is in american samoa.', False)
('The elephant is in north america.', 'The elephant is in american samoa.', False)
('The penguin is in the united states of america.', 'The penguin is in american samoa.', False)
('The kookabura is in the universe.', 'The kookabura is in arizona.', False)
('The red panda is in the milky way galaxy.', 'The red panda is in arizona.', False)
('The ant is in our solar system.', 'The ant is in arizona.', False)
('The ant is on earth.', 'The ant is in arizona.', False)
('The newt is in north america.', 'The newt is in arizona.', False)
('The panther is in the united states of america.', 'The panther is in arizona.', False)
('The hyena is in the universe.', 'The hyena is in arkansas.', False)
('The stingray is in the milky way galaxy.', 'The stingray is in arkansas.', False)
('The walrus is in our solar system.', 'The walrus is in arkansas.', False)
('The gerbil is on earth.', 'The gerbil is in arkansas.', False)
('The okapi is in north america.', 'The okapi is in arkansas.', False)
('The zebra is in the united states of america.', 'The zebra is in arkansas.', False)
('The trout is in the universe.', 'The trout is in california.', False)
('The parrot is in the milky way galaxy.', 'The parrot is in california.', False)
('The wallaby is in our solar system.', 'The wallaby is in california.', False)
('The pelican is on earth.', 'The pelican is in california.', False)
('The shrew is in north america.', 'The shrew is in california.', False)
('The wasp is in the united states of america.', 'The wasp is in california.', False)
('The cattle is in the universe.', 'The cattle is in san francisco.', False)
('The snake is in the milky way galaxy.', 'The snake is in san francisco.', False)
('The goldfinch is in our solar system.', 'The goldfinch is in san francisco.', False)
('The kouprey is on earth.', 'The kouprey is in san francisco.', False)
('The dolphin is in north america.', 'The dolphin is in san francisco.', False)
('The sheep is in the united states of america.', 'The sheep is in san francisco.', False)
('The ibex is in california.', 'The ibex is in san francisco.', False)
('The pheasant is in the universe.', 'The pheasant is in san diego.', False)
('The leopard is in the milky way galaxy.', 'The leopard is in san diego.', False)
('The worm is in our solar system.', 'The worm is in san diego.', False)
('The grasshopper is on earth.', 'The grasshopper is in san diego.', False)
('The trout is in north america.', 'The trout is in san diego.', False)
('The shrew is in the united states of america.', 'The shrew is in san diego.', False)
('The kudu is in california.', 'The kudu is in san diego.', False)
('The swan is in the universe.', 'The swan is in los angeles.', False)
('The jaguar is in the milky way galaxy.', 'The jaguar is in los angeles.', False)
('The dunlin is in our solar system.', 'The dunlin is in los angeles.', False)
('The hedgehog is on earth.', 'The hedgehog is in los angeles.', False)
('The emu is in north america.', 'The emu is in los angeles.', False)
('The crane is in the united states of america.', 'The crane is in los angeles.', False)
('The mule is in california.', 'The mule is in los angeles.', False)
('The stinkbug is in the universe.', 'The stinkbug is in santa barbara.', False)
('The hummingbird is in the milky way galaxy.', 'The hummingbird is in santa barbara.', False)
('The hedgehog is in our solar system.', 'The hedgehog is in santa barbara.', False)
('The ostrich is on earth.', 'The ostrich is in santa barbara.', False)
('The barracuda is in north america.', 'The barracuda is in santa barbara.', False)
('The lyrebird is in the united states of america.', 'The lyrebird is in santa barbara.', False)
('The mandrill is in california.', 'The mandrill is in santa barbara.', False)
('The barracuda is in the universe.', 'The barracuda is in colorado.', False)
('The spider is in the milky way galaxy.', 'The spider is in colorado.', False)
('The weasel is in our solar system.', 'The weasel is in colorado.', False)
('The cat is on earth.', 'The cat is in colorado.', False)
('The dotterel is in north america.', 'The dotterel is in colorado.', False)
('The lobster is in the united states of america.', 'The lobster is in colorado.', False)
('The penguin is in the universe.', 'The penguin is in connecticut.', False)
('The dog is in the milky way galaxy.', 'The dog is in connecticut.', False)
('The eel is in our solar system.', 'The eel is in connecticut.', False)
('The shrew is on earth.', 'The shrew is in connecticut.', False)
('The walrus is in north america.', 'The walrus is in connecticut.', False)
('The crab is in the united states of america.', 'The crab is in connecticut.', False)
('The porpoise is in the universe.', 'The porpoise is in delaware.', False)
('The echidna is in the milky way galaxy.', 'The echidna is in delaware.', False)
('The alpaca is in our solar system.', 'The alpaca is in delaware.', False)
('The grouse is on earth.', 'The grouse is in delaware.', False)
('The gnu is in north america.', 'The gnu is in delaware.', False)
('The koala is in the united states of america.', 'The koala is in delaware.', False)
('The monkey is in the universe.', 'The monkey is in the district of columbia.', False)
('The grasshopper is in the milky way galaxy.', 'The grasshopper is in the district of columbia.', False)
('The quetzal is in our solar system.', 'The quetzal is in the district of columbia.', False)
('The ostrich is on earth.', 'The ostrich is in the district of columbia.', False)
('The heron is in north america.', 'The heron is in the district of columbia.', False)
('The dolphin is in the united states of america.', 'The dolphin is in the district of columbia.', False)
('The seal is in the universe.', 'The seal is in florida.', False)
('The magpie is in the milky way galaxy.', 'The magpie is in florida.', False)
('The wasp is in our solar system.', 'The wasp is in florida.', False)
('The caribou is on earth.', 'The caribou is in florida.', False)
('The cormorant is in north america.', 'The cormorant is in florida.', False)
('The ostrich is in the united states of america.', 'The ostrich is in florida.', False)
('The stork is in the universe.', 'The stork is in georgia.', False)
('The armadillo is in the milky way galaxy.', 'The armadillo is in georgia.', False)
('The elephant is in our solar system.', 'The elephant is in georgia.', False)
('The louse is on earth.', 'The louse is in georgia.', False)
('The stork is in north america.', 'The stork is in georgia.', False)
('The heron is in the united states of america.', 'The heron is in georgia.', False)
('The sparrow is in the universe.', 'The sparrow is in guam.', False)
('The wren is in the milky way galaxy.', 'The wren is in guam.', False)
('The dolphin is in our solar system.', 'The dolphin is in guam.', False)
('The squid is on earth.', 'The squid is in guam.', False)
('The crab is in north america.', 'The crab is in guam.', False)
('The clam is in the united states of america.', 'The clam is in guam.', False)
('The kouprey is in the universe.', 'The kouprey is in hawaii.', False)
('The albatross is in the milky way galaxy.', 'The albatross is in hawaii.', False)
('The cormorant is in our solar system.', 'The cormorant is in hawaii.', False)
('The turtle is on earth.', 'The turtle is in hawaii.', False)
('The quail is in north america.', 'The quail is in hawaii.', False)
('The wolverine is in the united states of america.', 'The wolverine is in hawaii.', False)
('The otter is in the universe.', 'The otter is in idaho.', False)
('The monkey is in the milky way galaxy.', 'The monkey is in idaho.', False)
('The turkey is in our solar system.', 'The turkey is in idaho.', False)
('The worm is on earth.', 'The worm is in idaho.', False)
('The seahorse is in north america.', 'The seahorse is in idaho.', False)
('The bee is in the united states of america.', 'The bee is in idaho.', False)
('The hedgehog is in the universe.', 'The hedgehog is in illinois.', False)
('The mink is in the milky way galaxy.', 'The mink is in illinois.', False)
('The jackal is in our solar system.', 'The jackal is in illinois.', False)
('The salamander is on earth.', 'The salamander is in illinois.', False)
('The duck is in north america.', 'The duck is in illinois.', False)
('The jellyfish is in the united states of america.', 'The jellyfish is in illinois.', False)
('The vulture is in the universe.', 'The vulture is in chicago.', False)
('The rabbit is in the milky way galaxy.', 'The rabbit is in chicago.', False)
('The pheasant is in our solar system.', 'The pheasant is in chicago.', False)
('The elk is on earth.', 'The elk is in chicago.', False)
('The leopard is in north america.', 'The leopard is in chicago.', False)
('The cod is in the united states of america.', 'The cod is in chicago.', False)
('The ostrich is in illinois.', 'The ostrich is in chicago.', False)
('The moose is in the universe.', 'The moose is in indiana.', False)
('The seal is in the milky way galaxy.', 'The seal is in indiana.', False)
('The cheetah is in our solar system.', 'The cheetah is in indiana.', False)
('The red panda is on earth.', 'The red panda is in indiana.', False)
('The mongoose is in north america.', 'The mongoose is in indiana.', False)
('The sparrow is in the united states of america.', 'The sparrow is in indiana.', False)
('The kookabura is in the universe.', 'The kookabura is in indianapolis.', False)
('The yak is in the milky way galaxy.', 'The yak is in indianapolis.', False)
('The donkey is in our solar system.', 'The donkey is in indianapolis.', False)
('The salmon is on earth.', 'The salmon is in indianapolis.', False)
('The woodpecker is in north america.', 'The woodpecker is in indianapolis.', False)
('The oyster is in the united states of america.', 'The oyster is in indianapolis.', False)
('The tarsier is in indiana.', 'The tarsier is in indianapolis.', False)
('The leopard is in the universe.', 'The leopard is in lafayette.', False)
('The fox is in the milky way galaxy.', 'The fox is in lafayette.', False)
('The squirrel is in our solar system.', 'The squirrel is in lafayette.', False)
('The turtle is on earth.', 'The turtle is in lafayette.', False)
('The camel is in north america.', 'The camel is in lafayette.', False)
('The antelope is in the united states of america.', 'The antelope is in lafayette.', False)
('The wombat is in indiana.', 'The wombat is in lafayette.', False)
('The rook is in the universe.', 'The rook is in purdue university.', False)
('The wallaby is in the milky way galaxy.', 'The wallaby is in purdue university.', False)
('The newt is in our solar system.', 'The newt is in purdue university.', False)
('The starling is on earth.', 'The starling is in purdue university.', False)
('The ant is in north america.', 'The ant is in purdue university.', False)
('The hamster is in the united states of america.', 'The hamster is in purdue university.', False)
('The tiger is in indiana.', 'The tiger is in purdue university.', False)
('The tarsier is in the universe.', 'The tarsier is in iowa.', False)
('The coyote is in the milky way galaxy.', 'The coyote is in iowa.', False)
('The walrus is in our solar system.', 'The walrus is in iowa.', False)
('The crow is on earth.', 'The crow is in iowa.', False)
('The eagle is in north america.', 'The eagle is in iowa.', False)
('The viper is in the united states of america.', 'The viper is in iowa.', False)
('The crab is in the universe.', 'The crab is in kansas.', False)
('The goose is in the milky way galaxy.', 'The goose is in kansas.', False)
('The raccoon is in our solar system.', 'The raccoon is in kansas.', False)
('The partridge is on earth.', 'The partridge is in kansas.', False)
('The oyster is in north america.', 'The oyster is in kansas.', False)
('The gnat is in the united states of america.', 'The gnat is in kansas.', False)
('The ant is in the universe.', 'The ant is in kentucky.', False)
('The woodpecker is in the milky way galaxy.', 'The woodpecker is in kentucky.', False)
('The opossum is in our solar system.', 'The opossum is in kentucky.', False)
('The lobster is on earth.', 'The lobster is in kentucky.', False)
('The falcon is in north america.', 'The falcon is in kentucky.', False)
('The kookabura is in the united states of america.', 'The kookabura is in kentucky.', False)
('The goshawk is in the universe.', 'The goshawk is in louisiana.', False)
('The squirrel is in the milky way galaxy.', 'The squirrel is in louisiana.', False)
('The gnu is in our solar system.', 'The gnu is in louisiana.', False)
('The elk is on earth.', 'The elk is in louisiana.', False)
('The scorpion is in north america.', 'The scorpion is in louisiana.', False)
('The spider is in the united states of america.', 'The spider is in louisiana.', False)
('The cod is in the universe.', 'The cod is in maine.', False)
('The zebra is in the milky way galaxy.', 'The zebra is in maine.', False)
('The goldfish is in our solar system.', 'The goldfish is in maine.', False)
('The dogfish is on earth.', 'The dogfish is in maine.', False)
('The cormorant is in north america.', 'The cormorant is in maine.', False)
('The capybara is in the united states of america.', 'The capybara is in maine.', False)
('The butterfly is in the universe.', 'The butterfly is in maryland.', False)
('The rook is in the milky way galaxy.', 'The rook is in maryland.', False)
('The starling is in our solar system.', 'The starling is in maryland.', False)
('The antelope is on earth.', 'The antelope is in maryland.', False)
('The capybara is in north america.', 'The capybara is in maryland.', False)
('The whale is in the united states of america.', 'The whale is in maryland.', False)
('The hare is in the universe.', 'The hare is in massachusetts.', False)
('The herring is in the milky way galaxy.', 'The herring is in massachusetts.', False)
('The wolverine is in our solar system.', 'The wolverine is in massachusetts.', False)
('The mole is on earth.', 'The mole is in massachusetts.', False)
('The leopard is in north america.', 'The leopard is in massachusetts.', False)
('The pheasant is in the united states of america.', 'The pheasant is in massachusetts.', False)
('The sheep is in the universe.', 'The sheep is in michigan.', False)
('The alpaca is in the milky way galaxy.', 'The alpaca is in michigan.', False)
('The pheasant is in our solar system.', 'The pheasant is in michigan.', False)
('The alligator is on earth.', 'The alligator is in michigan.', False)
('The gnu is in north america.', 'The gnu is in michigan.', False)
('The tarsier is in the united states of america.', 'The tarsier is in michigan.', False)
('The newt is in the universe.', 'The newt is in minnesota.', False)
('The worm is in the milky way galaxy.', 'The worm is in minnesota.', False)
('The cassowary is in our solar system.', 'The cassowary is in minnesota.', False)
('The wasp is on earth.', 'The wasp is in minnesota.', False)
('The goldfish is in north america.', 'The goldfish is in minnesota.', False)
('The ibex is in the united states of america.', 'The ibex is in minnesota.', False)
('The fly is in the universe.', 'The fly is in mississippi.', False)
('The snake is in the milky way galaxy.', 'The snake is in mississippi.', False)
('The buffalo is in our solar system.', 'The buffalo is in mississippi.', False)
('The cattle is on earth.', 'The cattle is in mississippi.', False)
('The flamingo is in north america.', 'The flamingo is in mississippi.', False)
('The chough is in the united states of america.', 'The chough is in mississippi.', False)
('The elephant is in the universe.', 'The elephant is in missouri.', False)
('The newt is in the milky way galaxy.', 'The newt is in missouri.', False)
('The clam is in our solar system.', 'The clam is in missouri.', False)
('The pony is on earth.', 'The pony is in missouri.', False)
('The turkey is in north america.', 'The turkey is in missouri.', False)
('The spider is in the united states of america.', 'The spider is in missouri.', False)
('The wasp is in the universe.', 'The wasp is in montana.', False)
