('neighborhoods contain cities', 'neighborhoods are found in cities.', False)
('apartments contain cities', 'apartments are found in cities.', False)
('people contain cities', 'people are found in cities.', False)
('beds contain hospitals', 'beds are found in hospitals.', False)
('patients contain hospitals', 'patients are found in hospitals.', False)
('wheels contain cars', 'wheels are found in cars.', False)
('hubcaps contain cars', 'hubcaps are found in cars.', False)
('trees contain forests', 'trees are found in forests.', False)
('leafs contain forests', 'leafs are found in forests.', False)
('pedals contain flowers', 'pedals are found in flowers.', False)
('pages contain books', 'pages are found in books.', False)
('paragraphs contain books', 'paragraphs are found in books.', False)
('sentences contain books', 'sentences are found in books.', False)
('words contain books', 'words are found in books.', False)
('letters contain books', 'letters are found in books.', False)
('zippers contain coats', 'zippers are found in coats.', False)
('drawers contain desks', 'drawers are found in desks.', False)
('utensils contain desks', 'utensils are found in desks.', False)
('accountants says cities are composed of neighborhoods', 'Some accountants says cities consists of neighborhoods.', False)
('accounts assistants says cities are composed of neighborhoods', 'Some accounts assistants says cities consists of neighborhoods.', False)
('accounts clerks says cities are composed of neighborhoods', 'Some accounts clerks says cities consists of neighborhoods.', False)
('accounts managers says cities are composed of neighborhoods', 'Some accounts managers says cities consists of neighborhoods.', False)
('accounts staffs says cities are composed of neighborhoods', 'Some accounts staffs says cities consists of neighborhoods.', False)
('acoustic engineers says cities are composed of neighborhoods', 'Some acoustic engineers says cities consists of neighborhoods.', False)
('actors says cities are composed of neighborhoods', 'Some actors says cities consists of neighborhoods.', False)
('actresss says cities are composed of neighborhoods', 'Some actresss says cities consists of neighborhoods.', False)
('actuarys says cities are composed of neighborhoods', 'Some actuarys says cities consists of neighborhoods.', False)
('acupuncturists says cities are composed of neighborhoods', 'Some acupuncturists says cities consists of neighborhoods.', False)
('adjustors says cities are composed of neighborhoods', 'Some adjustors says cities consists of neighborhoods.', False)
('administration assistants says cities are composed of neighborhoods', 'Some administration assistants says cities consists of neighborhoods.', False)
('administration clerks says cities are composed of neighborhoods', 'Some administration clerks says cities consists of neighborhoods.', False)
('administration managers says cities are composed of neighborhoods', 'Some administration managers says cities consists of neighborhoods.', False)
('administration staffs says cities are composed of neighborhoods', 'Some administration staffs says cities consists of neighborhoods.', False)
('administrators says cities are composed of neighborhoods', 'Some administrators says cities consists of neighborhoods.', False)
('advertising agents says cities are composed of neighborhoods', 'Some advertising agents says cities consists of neighborhoods.', False)
('advertising assistants says cities are composed of neighborhoods', 'Some advertising assistants says cities consists of neighborhoods.', False)
('advertising clerks says cities are composed of neighborhoods', 'Some advertising clerks says cities consists of neighborhoods.', False)
('advertising contractors says cities are composed of neighborhoods', 'Some advertising contractors says cities consists of neighborhoods.', False)
('advertising executives says cities are composed of neighborhoods', 'Some advertising executives says cities consists of neighborhoods.', False)
('advertising managers says cities are composed of neighborhoods', 'Some advertising managers says cities consists of neighborhoods.', False)
('advertising staffs says cities are composed of neighborhoods', 'Some advertising staffs says cities consists of neighborhoods.', False)
('aerial erectors says cities are composed of neighborhoods', 'Some aerial erectors says cities consists of neighborhoods.', False)
('aerobic instructors says cities are composed of neighborhoods', 'Some aerobic instructors says cities consists of neighborhoods.', False)
('aeronautical engineers says cities are composed of neighborhoods', 'Some aeronautical engineers says cities consists of neighborhoods.', False)
('agents says cities are composed of neighborhoods', 'Some agents says cities consists of neighborhoods.', False)
('air traffic controllers says cities are composed of neighborhoods', 'Some air traffic controllers says cities consists of neighborhoods.', False)
('aircraft designers says cities are composed of neighborhoods', 'Some aircraft designers says cities consists of neighborhoods.', False)
('aircraft engineers says cities are composed of neighborhoods', 'Some aircraft engineers says cities consists of neighborhoods.', False)
('aircraft maintenance engineers says cities are composed of neighborhoods', 'Some aircraft maintenance engineers says cities consists of neighborhoods.', False)
('aircraft surface finishers says cities are composed of neighborhoods', 'Some aircraft surface finishers says cities consists of neighborhoods.', False)
('airmans says cities are composed of neighborhoods', 'Some airmans says cities consists of neighborhoods.', False)
('airport controllers says cities are composed of neighborhoods', 'Some airport controllers says cities consists of neighborhoods.', False)
('airport managers says cities are composed of neighborhoods', 'Some airport managers says cities consists of neighborhoods.', False)
('almoners says cities are composed of neighborhoods', 'Some almoners says cities consists of neighborhoods.', False)
('ambulance controllers says cities are composed of neighborhoods', 'Some ambulance controllers says cities consists of neighborhoods.', False)
('ambulance crews says cities are composed of neighborhoods', 'Some ambulance crews says cities consists of neighborhoods.', False)
('ambulance drivers says cities are composed of neighborhoods', 'Some ambulance drivers says cities consists of neighborhoods.', False)
('amusement arcade workers says cities are composed of neighborhoods', 'Some amusement arcade workers says cities consists of neighborhoods.', False)
('anaesthetists says cities are composed of neighborhoods', 'Some anaesthetists says cities consists of neighborhoods.', False)
('analysts says cities are composed of neighborhoods', 'Some analysts says cities consists of neighborhoods.', False)
('analytical chemists says cities are composed of neighborhoods', 'Some analytical chemists says cities consists of neighborhoods.', False)
('animal breeders says cities are composed of neighborhoods', 'Some animal breeders says cities consists of neighborhoods.', False)
('anthropologists says cities are composed of neighborhoods', 'Some anthropologists says cities consists of neighborhoods.', False)
('antique dealers says cities are composed of neighborhoods', 'Some antique dealers says cities consists of neighborhoods.', False)
('applications engineers says cities are composed of neighborhoods', 'Some applications engineers says cities consists of neighborhoods.', False)
('applications programmers says cities are composed of neighborhoods', 'Some applications programmers says cities consists of neighborhoods.', False)
('arbitrators says cities are composed of neighborhoods', 'Some arbitrators says cities consists of neighborhoods.', False)
('arborists says cities are composed of neighborhoods', 'Some arborists says cities consists of neighborhoods.', False)
('archaeologists says cities are composed of neighborhoods', 'Some archaeologists says cities consists of neighborhoods.', False)
('architects says cities are composed of neighborhoods', 'Some architects says cities consists of neighborhoods.', False)
('archivists says cities are composed of neighborhoods', 'Some archivists says cities consists of neighborhoods.', False)
('area managers says cities are composed of neighborhoods', 'Some area managers says cities consists of neighborhoods.', False)
('armourers says cities are composed of neighborhoods', 'Some armourers says cities consists of neighborhoods.', False)
('aromatherapists says cities are composed of neighborhoods', 'Some aromatherapists says cities consists of neighborhoods.', False)
('art critics says cities are composed of neighborhoods', 'Some art critics says cities consists of neighborhoods.', False)
('art dealers says cities are composed of neighborhoods', 'Some art dealers says cities consists of neighborhoods.', False)
('art historians says cities are composed of neighborhoods', 'Some art historians says cities consists of neighborhoods.', False)
('art restorers says cities are composed of neighborhoods', 'Some art restorers says cities consists of neighborhoods.', False)
('artexers says cities are composed of neighborhoods', 'Some artexers says cities consists of neighborhoods.', False)
('artists says cities are composed of neighborhoods', 'Some artists says cities consists of neighborhoods.', False)
('artss says cities are composed of neighborhoods', 'Some artss says cities consists of neighborhoods.', False)
('assembly workers says cities are composed of neighborhoods', 'Some assembly workers says cities consists of neighborhoods.', False)
('assessors says cities are composed of neighborhoods', 'Some assessors says cities consists of neighborhoods.', False)
('assistants says cities are composed of neighborhoods', 'Some assistants says cities consists of neighborhoods.', False)
('assistant caretakers says cities are composed of neighborhoods', 'Some assistant caretakers says cities consists of neighborhoods.', False)
('assistant cooks says cities are composed of neighborhoods', 'Some assistant cooks says cities consists of neighborhoods.', False)
('assistant managers says cities are composed of neighborhoods', 'Some assistant managers says cities consists of neighborhoods.', False)
('assistant nurses says cities are composed of neighborhoods', 'Some assistant nurses says cities consists of neighborhoods.', False)
('assistant teachers says cities are composed of neighborhoods', 'Some assistant teachers says cities consists of neighborhoods.', False)
('astrologers says cities are composed of neighborhoods', 'Some astrologers says cities consists of neighborhoods.', False)
('astronomers says cities are composed of neighborhoods', 'Some astronomers says cities consists of neighborhoods.', False)
('attendants says cities are composed of neighborhoods', 'Some attendants says cities consists of neighborhoods.', False)
('au pairs says cities are composed of neighborhoods', 'Some au pairs says cities consists of neighborhoods.', False)
('auction workers says cities are composed of neighborhoods', 'Some auction workers says cities consists of neighborhoods.', False)
('auctioneers says cities are composed of neighborhoods', 'Some auctioneers says cities consists of neighborhoods.', False)
('audiologists says cities are composed of neighborhoods', 'Some audiologists says cities consists of neighborhoods.', False)
('audit clerks says cities are composed of neighborhoods', 'Some audit clerks says cities consists of neighborhoods.', False)
('audit managers says cities are composed of neighborhoods', 'Some audit managers says cities consists of neighborhoods.', False)
('auditors says cities are composed of neighborhoods', 'Some auditors says cities consists of neighborhoods.', False)
('auto electricians says cities are composed of neighborhoods', 'Some auto electricians says cities consists of neighborhoods.', False)
('auxiliary nurses says cities are composed of neighborhoods', 'Some auxiliary nurses says cities consists of neighborhoods.', False)
('bacon curers says cities are composed of neighborhoods', 'Some bacon curers says cities consists of neighborhoods.', False)
('baggage handlers says cities are composed of neighborhoods', 'Some baggage handlers says cities consists of neighborhoods.', False)
('bailiffs says cities are composed of neighborhoods', 'Some bailiffs says cities consists of neighborhoods.', False)
('bakers says cities are composed of neighborhoods', 'Some bakers says cities consists of neighborhoods.', False)
('bakery assistants says cities are composed of neighborhoods', 'Some bakery assistants says cities consists of neighborhoods.', False)
('bakery managers says cities are composed of neighborhoods', 'Some bakery managers says cities consists of neighborhoods.', False)
('bakery operators says cities are composed of neighborhoods', 'Some bakery operators says cities consists of neighborhoods.', False)
('balloonists says cities are composed of neighborhoods', 'Some balloonists says cities consists of neighborhoods.', False)
('bank clerks says cities are composed of neighborhoods', 'Some bank clerks says cities consists of neighborhoods.', False)
('bank managers says cities are composed of neighborhoods', 'Some bank managers says cities consists of neighborhoods.', False)
('bank messengers says cities are composed of neighborhoods', 'Some bank messengers says cities consists of neighborhoods.', False)
('baptist ministers says cities are composed of neighborhoods', 'Some baptist ministers says cities consists of neighborhoods.', False)
('bar managers says cities are composed of neighborhoods', 'Some bar managers says cities consists of neighborhoods.', False)
('bar stewards says cities are composed of neighborhoods', 'Some bar stewards says cities consists of neighborhoods.', False)
('barbers says cities are composed of neighborhoods', 'Some barbers says cities consists of neighborhoods.', False)
('barmaids says cities are composed of neighborhoods', 'Some barmaids says cities consists of neighborhoods.', False)
('barmans says cities are composed of neighborhoods', 'Some barmans says cities consists of neighborhoods.', False)
('barristers says cities are composed of neighborhoods', 'Some barristers says cities consists of neighborhoods.', False)
('beauticians says cities are composed of neighborhoods', 'Some beauticians says cities consists of neighborhoods.', False)
('beauty therapists says cities are composed of neighborhoods', 'Some beauty therapists says cities consists of neighborhoods.', False)
('betting shops says cities are composed of neighborhoods', 'Some betting shops says cities consists of neighborhoods.', False)
('bill posters says cities are composed of neighborhoods', 'Some bill posters says cities consists of neighborhoods.', False)
