('neighborhoods are found in cities.', 'neighborhoods contain cities', True)
('apartments are found in cities.', 'apartments contain cities', True)
('people are found in cities.', 'people contain cities', True)
('beds are found in hospitals.', 'beds contain hospitals', True)
('patients are found in hospitals.', 'patients contain hospitals', True)
('wheels are found in cars.', 'wheels contain cars', True)
('hubcaps are found in cars.', 'hubcaps contain cars', True)
('trees are found in forests.', 'trees contain forests', True)
('leafs are found in forests.', 'leafs contain forests', True)
('pedals are found in flowers.', 'pedals contain flowers', True)
('pages are found in books.', 'pages contain books', True)
('paragraphs are found in books.', 'paragraphs contain books', True)
('sentences are found in books.', 'sentences contain books', True)
('words are found in books.', 'words contain books', True)
('letters are found in books.', 'letters contain books', True)
('zippers are found in coats.', 'zippers contain coats', True)
('drawers are found in desks.', 'drawers contain desks', True)
('utensils are found in desks.', 'utensils contain desks', True)
('Some accountants says cities consists of neighborhoods.', 'accountants says cities are composed of neighborhoods', True)
('Some accounts assistants says cities consists of neighborhoods.', 'accounts assistants says cities are composed of neighborhoods', True)
('Some accounts clerks says cities consists of neighborhoods.', 'accounts clerks says cities are composed of neighborhoods', True)
('Some accounts managers says cities consists of neighborhoods.', 'accounts managers says cities are composed of neighborhoods', True)
('Some accounts staffs says cities consists of neighborhoods.', 'accounts staffs says cities are composed of neighborhoods', True)
('Some acoustic engineers says cities consists of neighborhoods.', 'acoustic engineers says cities are composed of neighborhoods', True)
('Some actors says cities consists of neighborhoods.', 'actors says cities are composed of neighborhoods', True)
('Some actresss says cities consists of neighborhoods.', 'actresss says cities are composed of neighborhoods', True)
('Some actuarys says cities consists of neighborhoods.', 'actuarys says cities are composed of neighborhoods', True)
('Some acupuncturists says cities consists of neighborhoods.', 'acupuncturists says cities are composed of neighborhoods', True)
('Some adjustors says cities consists of neighborhoods.', 'adjustors says cities are composed of neighborhoods', True)
('Some administration assistants says cities consists of neighborhoods.', 'administration assistants says cities are composed of neighborhoods', True)
('Some administration clerks says cities consists of neighborhoods.', 'administration clerks says cities are composed of neighborhoods', True)
('Some administration managers says cities consists of neighborhoods.', 'administration managers says cities are composed of neighborhoods', True)
('Some administration staffs says cities consists of neighborhoods.', 'administration staffs says cities are composed of neighborhoods', True)
('Some administrators says cities consists of neighborhoods.', 'administrators says cities are composed of neighborhoods', True)
('Some advertising agents says cities consists of neighborhoods.', 'advertising agents says cities are composed of neighborhoods', True)
('Some advertising assistants says cities consists of neighborhoods.', 'advertising assistants says cities are composed of neighborhoods', True)
('Some advertising clerks says cities consists of neighborhoods.', 'advertising clerks says cities are composed of neighborhoods', True)
('Some advertising contractors says cities consists of neighborhoods.', 'advertising contractors says cities are composed of neighborhoods', True)
('Some advertising executives says cities consists of neighborhoods.', 'advertising executives says cities are composed of neighborhoods', True)
('Some advertising managers says cities consists of neighborhoods.', 'advertising managers says cities are composed of neighborhoods', True)
('Some advertising staffs says cities consists of neighborhoods.', 'advertising staffs says cities are composed of neighborhoods', True)
('Some aerial erectors says cities consists of neighborhoods.', 'aerial erectors says cities are composed of neighborhoods', True)
('Some aerobic instructors says cities consists of neighborhoods.', 'aerobic instructors says cities are composed of neighborhoods', True)
('Some aeronautical engineers says cities consists of neighborhoods.', 'aeronautical engineers says cities are composed of neighborhoods', True)
('Some agents says cities consists of neighborhoods.', 'agents says cities are composed of neighborhoods', True)
('Some air traffic controllers says cities consists of neighborhoods.', 'air traffic controllers says cities are composed of neighborhoods', True)
('Some aircraft designers says cities consists of neighborhoods.', 'aircraft designers says cities are composed of neighborhoods', True)
