,hypothesis,premis,label,category
0,There was a aardvark in london., A aardvark could be found in london.,True,baseline
1,The accountant enjoys the aardvark and the armadillo., The accountant likes the aardvark.,True,baseline
2,The accountant enjoys the aardvark and the armadillo., The accountant likes the armadillo.,True,baseline
3,Allie is a underwriter with a pet cattle and a house in arizona., Allie has a house in arizona.,True,baseline
4,Lurleen is a photographer with a pet weasel and a house in georgia., The photographer has a pet weasel.,True,baseline
5,There is a aardvark in indiana., A aardvark can be found in hong kong.,False,baseline
6,There is a aardvark in new york., A aardvark can be found in illinois.,False,baseline
7, doesnt like walking in purdue university.,  doesnt like purdue university.,False,baseline
8, doesnt like walking in new york.,  doesnt like new york.,False,baseline
9,Allie is a underwriter with a pet cattle and a house in arizona., The cattle is a underwriter.,False,baseline
10,Grace is a bakery assistant with a pet tiger and a house in nevada., Grace has a pet bakery assistant.,False,baseline
11,Lurleen is a photographer with a pet weasel and a house in georgia., The weasel is a photographer.,False,baseline
12,Lurleen is a photographer with a pet weasel and a house in georgia., Lurleen has a pet photographer.,False,baseline
13,Eleen is a youth worker with a pet elephant and a house in maryland., Eleen has a pet youth worker.,False,baseline
14,Some administration staff said pens consists of ink., The administration staff said pens are composed of ink.,True,composition
15,Some administration staff said stores consists of employees., The administration staff said stores are composed of employees.,True,composition
16,Some advertising agent said domains consists of species., The advertising agent said domains are composed of species.,True,composition
17,Some advertising contractor said books consists of letters., The advertising contractor said books are composed of letters.,True,composition
18,Some advertising staff said cities consists of apartments., The advertising staff said cities are composed of apartments.,True,composition
19,Some aircraft maintenance engineer said drums consists of snares., The aircraft maintenance engineer said drums are composed of snares.,True,composition
20,Some airport manager said domains consists of families., The airport manager said domains are composed of families.,True,composition
21,Some amusement arcade worker said books consists of pages., The amusement arcade worker said books are composed of pages.,True,composition
22,Some applications engineer said churches consists of pews., The applications engineer said churches are composed of pews.,True,composition
23,Some arbitrator said decks consists of cards., The arbitrator said decks are composed of cards.,True,composition
24,Some area manager said drums consists of heads., The area manager said drums are composed of heads.,True,composition
25,Some assembly worker said schools consists of classrooms., The assembly worker said schools are composed of classrooms.,True,composition
26,Some auditor said artworks consists of paints., The auditor said artworks are composed of paints.,True,composition
27,Some blind fitter said hotels consists of customers., The blind fitter said hotels are composed of customers.,True,composition
28,Some body fitter said hospitals consists of patients., The body fitter said hospitals are composed of patients.,True,composition
29,Some book binder said homes consists of children., The book binder said homes are composed of children.,True,composition
30,Some breeder said flowers consists of pedals., The breeder said flowers are composed of pedals.,True,composition
31,Some brewery manager said coats consists of zippers., The brewery manager said coats are composed of zippers.,True,composition
32,Some brewery manager said desks consists of drawers., The brewery manager said desks are composed of drawers.,True,composition
33,Some bricklayer said domains consists of kingdoms., The bricklayer said domains are composed of kingdoms.,True,composition
34,Some builders labourer said domains consists of phylums., The builders labourer said domains are composed of phylums.,True,composition
35,Some building advisor said songs consists of instruments., The building advisor said songs are composed of instruments.,True,composition
36,Some building manager said cars consists of wheels., The building manager said cars are composed of wheels.,True,composition
37,Some building manager said computer consists of processor., The building manager said computer are composed of processor.,True,composition
38,Some bus driver said flowers consists of pedals., The bus driver said flowers are composed of pedals.,True,composition
39,Some buyer said books consists of pages., The buyer said books are composed of pages.,True,composition
40,Some cafe owner said domains consists of kingdoms., The cafe owner said domains are composed of kingdoms.,True,composition
41,Some cafe owner said cities consists of people., The cafe owner said cities are composed of people.,True,composition
42,Some cafe staff said domains consists of kingdoms., The cafe staff said domains are composed of kingdoms.,True,composition
43,Some calibration manager said books consists of paragraphs., The calibration manager said books are composed of paragraphs.,True,composition
44,Some car park attendant said computer consists of silicon., The car park attendant said computer are composed of silicon.,True,composition
45,Some car valet said teapots consists of tea., The car valet said teapots are composed of tea.,True,composition
46,Some carpenter said books consists of paragraphs., The carpenter said books are composed of paragraphs.,True,composition
47,Some chaplain said churches consists of pews., The chaplain said churches are composed of pews.,True,composition
48,Some chef said churches consists of pews., The chef said churches are composed of pews.,True,composition
49,Some childminder said domains consists of classes., The childminder said domains are composed of classes.,True,composition
50,Some cinema manager said books consists of paragraphs., The cinema manager said books are composed of paragraphs.,True,composition
51,Some civil engineer said decks consists of cards., The civil engineer said decks are composed of cards.,True,composition
52,Some claims assessor said books consists of letters., The claims assessor said books are composed of letters.,True,composition
53,Some claims manager said decks consists of cards., The claims manager said decks are composed of cards.,True,composition
54,Some claims manager said coats consists of zippers., The claims manager said coats are composed of zippers.,True,composition
55,Some claims manager said desks consists of drawers., The claims manager said desks are composed of drawers.,True,composition
56,Some cleaner said schools consists of students., The cleaner said schools are composed of students.,True,composition
57,Some english teacher said domains consists of genera., The english teacher said domains are composed of genera.,True,composition
58,Some executive said coats consists of zippers., The executive said coats are composed of zippers.,True,composition
59,Some farmer said domains consists of genera., The farmer said domains are composed of genera.,True,composition
60,Some fireman said teapots consists of tea., The fireman said teapots are composed of tea.,True,composition
61,Some floor manager said domains consists of families., The floor manager said domains are composed of families.,True,composition
62,Some florist said hotels consists of beds., The florist said hotels are composed of beds.,True,composition
63,Some fruiterer said flowers consists of pedals., The fruiterer said flowers are composed of pedals.,True,composition
64,Some fund raiser said drums consists of snares., The fund raiser said drums are composed of snares.,True,composition
65,Some funeral furnisher said desks consists of utensils., The funeral furnisher said desks are composed of utensils.,True,composition
66,Some furniture restorer said computer consists of processor., The furniture restorer said computer are composed of processor.,True,composition
67,Some gamekeeper said songs consists of instruments., The gamekeeper said songs are composed of instruments.,True,composition
68,Some gaming club manager said desks consists of drawers., The gaming club manager said desks are composed of drawers.,True,composition
69,Some garage foreman said schools consists of students., The garage foreman said schools are composed of students.,True,composition
70,Some gate keeper said computer consists of processor., The gate keeper said computer are composed of processor.,True,composition
71,Some hairdresser said cities consists of people., The hairdresser said cities are composed of people.,True,composition
72,Some hawker said domains consists of families., The hawker said domains are composed of families.,True,composition
73,Some horse trainer said drums consists of heads., The horse trainer said drums are composed of heads.,True,composition
74,Some hospital manager said domains consists of classes., The hospital manager said domains are composed of classes.,True,composition
75,Some hospital warden said domains consists of families., The hospital warden said domains are composed of families.,True,composition
76,Some hospital worker said computer consists of processor., The hospital worker said computer are composed of processor.,True,composition
77,Some hotelier said domains consists of species., The hotelier said domains are composed of species.,True,composition
78,Some househusband said drums consists of snares., The househusband said drums are composed of snares.,True,composition
79,Some housekeeper said computer consists of silicon., The housekeeper said computer are composed of silicon.,True,composition
80,Some housing supervisor said schools consists of students., The housing supervisor said schools are composed of students.,True,composition
81,Some housing supervisor said gardens consists of plants., The housing supervisor said gardens are composed of plants.,True,composition
82,Some instructor said hotels consists of customers., The instructor said hotels are composed of customers.,True,composition
83,Some instructor said desks consists of utensils., The instructor said desks are composed of utensils.,True,composition
84,Some insurance agent said books consists of letters., The insurance agent said books are composed of letters.,True,composition
85,Some insurance inspector said hospitals consists of patients., The insurance inspector said hospitals are composed of patients.,True,composition
86,Some insurance staff said beaches consists of sand., The insurance staff said beaches are composed of sand.,True,composition
87,Some investment banker said hotels consists of rooms., The investment banker said hotels are composed of rooms.,True,composition
88,Some kennel hand said cities consists of people., The kennel hand said cities are composed of people.,True,composition
89,Some kennel hand said desks consists of utensils., The kennel hand said desks are composed of utensils.,True,composition
90,Some landlady said homes consists of children., The landlady said homes are composed of children.,True,composition
91,Some lavatory attendant said domains consists of species., The lavatory attendant said domains are composed of species.,True,composition
92,Some liaison officer said domains consists of families., The liaison officer said domains are composed of families.,True,composition
93,Some librarian said churches consists of pews., The librarian said churches are composed of pews.,True,composition
94,Some lift engineer said desks consists of drawers., The lift engineer said desks are composed of drawers.,True,composition
95,Some line manager said ponds consists of water., The line manager said ponds are composed of water.,True,composition
96,Some lineman said ponds consists of molecules., The lineman said ponds are composed of molecules.,True,composition
97,Some loans manager said teapots consists of tea., The loans manager said teapots are composed of tea.,True,composition
98,Some lorry driver said artworks consists of paints., The lorry driver said artworks are composed of paints.,True,composition
99,Some magistrate said ponds consists of water., The magistrate said ponds are composed of water.,True,composition
100,Some manufacturing said stores consists of bones., The manufacturing said stores are composed of bones.,True,composition
101,Some marine broker said cities consists of people., The marine broker said cities are composed of people.,True,composition
102,Some marquee erector said cities consists of neighborhoods., The marquee erector said cities are composed of neighborhoods.,True,composition
103,Some marquee erector said books consists of pages., The marquee erector said books are composed of pages.,True,composition
104,Some massage therapist said schools consists of classrooms., The massage therapist said schools are composed of classrooms.,True,composition
105,Some masseur said cars consists of hubcaps., The masseur said cars are composed of hubcaps.,True,composition
106,Some materials manager said zoos consists of animals., The materials manager said zoos are composed of animals.,True,composition
107,Some mathematician said ponds consists of water., The mathematician said ponds are composed of water.,True,composition
108,Some medal dealer said domains consists of species., The medal dealer said domains are composed of species.,True,composition
109,Some medical supplier said desks consists of drawers., The medical supplier said desks are composed of drawers.,True,composition
110,Some metal engineer said ponds consists of molecules., The metal engineer said ponds are composed of molecules.,True,composition
111,Some musician said songs consists of instruments., The musician said songs are composed of instruments.,True,composition
112,Some newsagent said artworks consists of chemicals., The newsagent said artworks are composed of chemicals.,True,composition
113,Some night porter said cars consists of hubcaps., The night porter said cars are composed of hubcaps.,True,composition
114,Some nursing auxiliary said hospitals consists of beds., The nursing auxiliary said hospitals are composed of beds.,True,composition
115,Some operations said cities consists of neighborhoods., The operations said cities are composed of neighborhoods.,True,composition
116,Some optical said songs consists of instruments., The optical said songs are composed of instruments.,True,composition
117,Some outreach worker said stores consists of bones., The outreach worker said stores are composed of bones.,True,composition
118,Some painter said beaches consists of sand., The painter said beaches are composed of sand.,True,composition
119,Some pasteuriser said cars consists of hubcaps., The pasteuriser said cars are composed of hubcaps.,True,composition
120,Some payroll manager said hotels consists of customers., The payroll manager said hotels are composed of customers.,True,composition
121,Some picture framer said domains consists of phylums., The picture framer said domains are composed of phylums.,True,composition
122,Some picture framer said stores consists of employees., The picture framer said stores are composed of employees.,True,composition
123,Some pipe inspector said drums consists of heads., The pipe inspector said drums are composed of heads.,True,composition
124,Some planning manager said stores consists of bones., The planning manager said stores are composed of bones.,True,composition
125,Some planning officer said domains consists of genera., The planning officer said domains are composed of genera.,True,composition
126,Some plant operator said ponds consists of molecules., The plant operator said ponds are composed of molecules.,True,composition
127,Some post sorter said domains consists of kingdoms., The post sorter said domains are composed of kingdoms.,True,composition
128,Some production engineer said teapots consists of tea., The production engineer said teapots are composed of tea.,True,composition
129,Some professional boxer said computer consists of silicon., The professional boxer said computer are composed of silicon.,True,composition
130,Some professional boxer said zoos consists of animals., The professional boxer said zoos are composed of animals.,True,composition
131,Some projectionist said schools consists of classrooms., The projectionist said schools are composed of classrooms.,True,composition
132,Some psychologist said songs consists of instruments., The psychologist said songs are composed of instruments.,True,composition
133,Some radio director said desks consists of drawers., The radio director said desks are composed of drawers.,True,composition
134,Some radio operator said cars consists of wheels., The radio operator said cars are composed of wheels.,True,composition
135,Some radio presenter said forests consists of trees., The radio presenter said forests are composed of trees.,True,composition
136,Some radiographer said domains consists of families., The radiographer said domains are composed of families.,True,composition
137,Some radiographer said cars consists of wheels., The radiographer said cars are composed of wheels.,True,composition
138,Some receptionist said cities consists of people., The receptionist said cities are composed of people.,True,composition
139,Some reflexologist said books consists of paragraphs., The reflexologist said books are composed of paragraphs.,True,composition
140,Some refuse collector said flowers consists of pedals., The refuse collector said flowers are composed of pedals.,True,composition
141,Some resin caster said stores consists of bones., The resin caster said stores are composed of bones.,True,composition
142,Some restaurateur said desks consists of drawers., The restaurateur said desks are composed of drawers.,True,composition
143,Some riding instructor said decks consists of cards., The riding instructor said decks are composed of cards.,True,composition
144,Some road sweeper said books consists of letters., The road sweeper said books are composed of letters.,True,composition
145,Some school crossing said cities consists of people., The school crossing said cities are composed of people.,True,composition
146,Some security consultant said artworks consists of chemicals., The security consultant said artworks are composed of chemicals.,True,composition
147,Some shooting instructor said songs consists of muscisians., The shooting instructor said songs are composed of muscisians.,True,composition
148,Some shop assistant said books consists of words., The shop assistant said books are composed of words.,True,composition
149,Some shop keeper said domains consists of kingdoms., The shop keeper said domains are composed of kingdoms.,True,composition
150,Some special needs said domains consists of orders., The special needs said domains are composed of orders.,True,composition
151,Some special needs said cars consists of hubcaps., The special needs said cars are composed of hubcaps.,True,composition
152,Some street entertainer said cities consists of people., The street entertainer said cities are composed of people.,True,composition
153,Some tailor said decks consists of cards., The tailor said decks are composed of cards.,True,composition
154,Some tanker driver said cities consists of neighborhoods., The tanker driver said cities are composed of neighborhoods.,True,composition
155,Some tanner said songs consists of bands., The tanner said songs are composed of bands.,True,composition
156,Some tax assistant said homes consists of families., The tax assistant said homes are composed of families.,True,composition
157,Some tax inspector said cities consists of neighborhoods., The tax inspector said cities are composed of neighborhoods.,True,composition
158,Some taxi controller said schools consists of classrooms., The taxi controller said schools are composed of classrooms.,True,composition
159,Some taxi controller said songs consists of muscisians., The taxi controller said songs are composed of muscisians.,True,composition
160,Some technical assistant said domains consists of families., The technical assistant said domains are composed of families.,True,composition
161,Some technical director said hotels consists of customers., The technical director said hotels are composed of customers.,True,composition
162,Some technical director said churches consists of pews., The technical director said churches are composed of pews.,True,composition
