('There is a aardvark in indiana.', 'A aardvark can be found in purdue university.', False)
('There is a aardvark in purdue university.', 'A aardvark can be found in paris.', False)
('There is a aardvark in chicago.', 'A aardvark can be found in indiana.', False)
('There is a aardvark in paris.', 'A aardvark can be found in san francisco.', False)
('There is a aardvark in new york.', 'A aardvark can be found in london.', False)
('There is a aardvark in london.', 'A aardvark can be found in chicago.', False)
('There is a aardvark in michigan.', 'A aardvark can be found in purdue university.', False)
('There is a aardvark in hong kong.', 'A aardvark can be found in paris.', False)
('There is a aardvark in san francisco.', 'A aardvark can be found in michigan.', False)
('There is a albatross in indiana.', 'A albatross can be found in hong kong.', False)
('There is a albatross in purdue university.', 'A albatross can be found in indiana.', False)
('There is a albatross in chicago.', 'A albatross can be found in san francisco.', False)
('There is a albatross in paris.', 'A albatross can be found in purdue university.', False)
('There is a albatross in new york.', 'A albatross can be found in chicago.', False)
('There is a albatross in london.', 'A albatross can be found in paris.', False)
('There is a albatross in michigan.', 'A albatross can be found in indiana.', False)
('There is a albatross in hong kong.', 'A albatross can be found in san francisco.', False)
('There is a albatross in san francisco.', 'A albatross can be found in michigan.', False)
('There is a alligator in indiana.', 'A alligator can be found in london.', False)
('There is a alligator in purdue university.', 'A alligator can be found in new york.', False)
('There is a alligator in chicago.', 'A alligator can be found in hong kong.', False)
('There is a alligator in paris.', 'A alligator can be found in hong kong.', False)
('There is a alligator in new york.', 'A alligator can be found in indiana.', False)
('There is a alligator in london.', 'A alligator can be found in new york.', False)
('There is a alligator in michigan.', 'A alligator can be found in paris.', False)
('There is a alligator in hong kong.', 'A alligator can be found in san francisco.', False)
('There is a alligator in san francisco.', 'A alligator can be found in paris.', False)
('There is a alpaca in indiana.', 'A alpaca can be found in michigan.', False)
('There is a alpaca in purdue university.', 'A alpaca can be found in indiana.', False)
('There is a alpaca in chicago.', 'A alpaca can be found in indiana.', False)
('There is a alpaca in paris.', 'A alpaca can be found in san francisco.', False)
('There is a alpaca in new york.', 'A alpaca can be found in michigan.', False)
('There is a alpaca in london.', 'A alpaca can be found in new york.', False)
('There is a alpaca in michigan.', 'A alpaca can be found in san francisco.', False)
('There is a alpaca in hong kong.', 'A alpaca can be found in purdue university.', False)
('There is a alpaca in san francisco.', 'A alpaca can be found in new york.', False)
('There is a ant in indiana.', 'A ant can be found in michigan.', False)
('There is a ant in purdue university.', 'A ant can be found in paris.', False)
('There is a ant in chicago.', 'A ant can be found in michigan.', False)
('There is a ant in paris.', 'A ant can be found in hong kong.', False)
('There is a ant in new york.', 'A ant can be found in london.', False)
('There is a ant in london.', 'A ant can be found in michigan.', False)
('There is a ant in michigan.', 'A ant can be found in paris.', False)
('There is a ant in hong kong.', 'A ant can be found in london.', False)
('There is a ant in san francisco.', 'A ant can be found in paris.', False)
('There is a anteater in indiana.', 'A anteater can be found in chicago.', False)
('There is a anteater in purdue university.', 'A anteater can be found in san francisco.', False)
('There is a anteater in chicago.', 'A anteater can be found in michigan.', False)
('There is a anteater in paris.', 'A anteater can be found in london.', False)
('There is a anteater in new york.', 'A anteater can be found in indiana.', False)
('There is a anteater in london.', 'A anteater can be found in hong kong.', False)
('There is a anteater in michigan.', 'A anteater can be found in hong kong.', False)
('There is a anteater in hong kong.', 'A anteater can be found in indiana.', False)
('There is a anteater in san francisco.', 'A anteater can be found in purdue university.', False)
('There is a antelope in indiana.', 'A antelope can be found in paris.', False)
('There is a antelope in purdue university.', 'A antelope can be found in hong kong.', False)
('There is a antelope in chicago.', 'A antelope can be found in paris.', False)
('There is a antelope in paris.', 'A antelope can be found in chicago.', False)
('There is a antelope in new york.', 'A antelope can be found in paris.', False)
('There is a antelope in london.', 'A antelope can be found in indiana.', False)
('There is a antelope in michigan.', 'A antelope can be found in london.', False)
('There is a antelope in hong kong.', 'A antelope can be found in new york.', False)
('There is a antelope in san francisco.', 'A antelope can be found in michigan.', False)
('There is a ape in indiana.', 'A ape can be found in san francisco.', False)
('There is a ape in purdue university.', 'A ape can be found in london.', False)
('There is a ape in chicago.', 'A ape can be found in london.', False)
('There is a ape in paris.', 'A ape can be found in hong kong.', False)
('There is a ape in new york.', 'A ape can be found in purdue university.', False)
('There is a ape in london.', 'A ape can be found in chicago.', False)
('There is a ape in michigan.', 'A ape can be found in indiana.', False)
('There is a ape in hong kong.', 'A ape can be found in paris.', False)
('There is a ape in san francisco.', 'A ape can be found in hong kong.', False)
('There is a armadillo in indiana.', 'A armadillo can be found in london.', False)
('There is a armadillo in purdue university.', 'A armadillo can be found in paris.', False)
('There is a armadillo in chicago.', 'A armadillo can be found in michigan.', False)
('There is a armadillo in paris.', 'A armadillo can be found in indiana.', False)
('There is a armadillo in new york.', 'A armadillo can be found in chicago.', False)
('There is a armadillo in london.', 'A armadillo can be found in san francisco.', False)
('There is a armadillo in michigan.', 'A armadillo can be found in purdue university.', False)
('There is a armadillo in hong kong.', 'A armadillo can be found in london.', False)
('There is a armadillo in san francisco.', 'A armadillo can be found in michigan.', False)
('There is a donkey in indiana.', 'A donkey can be found in paris.', False)
('There is a donkey in purdue university.', 'A donkey can be found in michigan.', False)
('There is a donkey in chicago.', 'A donkey can be found in paris.', False)
('There is a donkey in paris.', 'A donkey can be found in hong kong.', False)
('There is a donkey in new york.', 'A donkey can be found in chicago.', False)
('There is a donkey in london.', 'A donkey can be found in san francisco.', False)
('There is a donkey in michigan.', 'A donkey can be found in purdue university.', False)
('There is a donkey in hong kong.', 'A donkey can be found in san francisco.', False)
('There is a donkey in san francisco.', 'A donkey can be found in michigan.', False)
('There is a baboon in indiana.', 'A baboon can be found in hong kong.', False)
('There is a baboon in purdue university.', 'A baboon can be found in new york.', False)
('There is a baboon in chicago.', 'A baboon can be found in purdue university.', False)
('There is a baboon in paris.', 'A baboon can be found in indiana.', False)
('There is a baboon in new york.', 'A baboon can be found in san francisco.', False)
('There is a baboon in london.', 'A baboon can be found in indiana.', False)
('There is a baboon in michigan.', 'A baboon can be found in london.', False)
('There is a baboon in hong kong.', 'A baboon can be found in chicago.', False)
('There is a baboon in san francisco.', 'A baboon can be found in chicago.', False)
