('The turtle is in the milky way galaxy.', 'The turtle is in the universe.', True)
('The cheetah is in our solar system.', 'The cheetah is in the universe.', True)
('The termite is in our solar system.', 'The termite is in the milky way galaxy.', True)
('The echidna is on the sun.', 'The echidna is in the universe.', True)
('The beaver is on the sun.', 'The beaver is in the milky way galaxy.', True)
('The mouse is on the sun.', 'The mouse is in our solar system.', True)
('The viper is on mercury.', 'The viper is in the universe.', True)
('The pony is on mercury.', 'The pony is in the milky way galaxy.', True)
('The wombat is on mercury.', 'The wombat is in our solar system.', True)
('The oyster is on venus.', 'The oyster is in the universe.', True)
('The gull is on venus.', 'The gull is in the milky way galaxy.', True)
('The deer is on venus.', 'The deer is in our solar system.', True)
('The buffalo is on earth.', 'The buffalo is in the universe.', True)
('The wolf is on earth.', 'The wolf is in the milky way galaxy.', True)
('The emu is on earth.', 'The emu is in our solar system.', True)
('The jaguar is in antarctica.', 'The jaguar is in the universe.', True)
('The alpaca is in antarctica.', 'The alpaca is in the milky way galaxy.', True)
('The lemur is in antarctica.', 'The lemur is in our solar system.', True)
('The pigeon is in antarctica.', 'The pigeon is on earth.', True)
('The anteater is in north america.', 'The anteater is in the universe.', True)
('The weasel is in north america.', 'The weasel is in the milky way galaxy.', True)
('The newt is in north america.', 'The newt is in our solar system.', True)
('The cattle is in north america.', 'The cattle is on earth.', True)
('The dinosaur is in the united states of america.', 'The dinosaur is in the universe.', True)
('The falcon is in the united states of america.', 'The falcon is in the milky way galaxy.', True)
('The baboon is in the united states of america.', 'The baboon is in our solar system.', True)
('The tiger is in the united states of america.', 'The tiger is on earth.', True)
('The okapi is in the united states of america.', 'The okapi is in north america.', True)
('The toad is in alabama.', 'The toad is in the universe.', True)
('The hyena is in alabama.', 'The hyena is in the milky way galaxy.', True)
('The trout is in alabama.', 'The trout is in our solar system.', True)
('The squirrel is in alabama.', 'The squirrel is on earth.', True)
('The grasshopper is in alabama.', 'The grasshopper is in north america.', True)
('The weasel is in alabama.', 'The weasel is in the united states of america.', True)
('The giraffe is in alaska.', 'The giraffe is in the universe.', True)
('The squid is in alaska.', 'The squid is in the milky way galaxy.', True)
('The vulture is in alaska.', 'The vulture is in our solar system.', True)
('The skunk is in alaska.', 'The skunk is on earth.', True)
('The mandrill is in alaska.', 'The mandrill is in north america.', True)
('The locust is in alaska.', 'The locust is in the united states of america.', True)
('The badger is in american samoa.', 'The badger is in the universe.', True)
('The goldfinch is in american samoa.', 'The goldfinch is in the milky way galaxy.', True)
('The dogfish is in american samoa.', 'The dogfish is in our solar system.', True)
('The oryx is in american samoa.', 'The oryx is on earth.', True)
('The elephant is in american samoa.', 'The elephant is in north america.', True)
('The penguin is in american samoa.', 'The penguin is in the united states of america.', True)
