('A automobile is a vehicle.', 'A automobile is a vehicle.', True)
('A car is a vehicle.', 'A car is a vehicle.', True)
('A car is a automobile.', 'A car is a automobile.', True)
('A truck is a vehicle.', 'A truck is a vehicle.', True)
('A truck is a automobile.', 'A truck is a automobile.', True)
('A aircraft is a vehicle.', 'A aircraft is a vehicle.', True)
('A airplane is a vehicle.', 'A airplane is a vehicle.', True)
('A airplane is a aircraft.', 'A airplane is a aircraft.', True)
('A blimp is a vehicle.', 'A blimp is a vehicle.', True)
('A blimp is a aircraft.', 'A blimp is a aircraft.', True)
('A zeppelin is a vehicle.', 'A zeppelin is a vehicle.', True)
('A zeppelin is a aircraft.', 'A zeppelin is a aircraft.', True)
('A helicopter is a vehicle.', 'A helicopter is a vehicle.', True)
('A helicopter is a aircraft.', 'A helicopter is a aircraft.', True)
('A watercraft is a vehicle.', 'A watercraft is a vehicle.', True)
('A train is a vehicle.', 'A train is a vehicle.', True)
('A hovercraft is a vehicle.', 'A hovercraft is a vehicle.', True)
('A rock & roll album is a music album.', 'A rock & roll album is a music album.', True)
('A classic rock album is a music album.', 'A classic rock album is a music album.', True)
('A classic rock album is a rock & roll album.', 'A classic rock album is a rock & roll album.', True)
('A alternative rock album is a music album.', 'A alternative rock album is a music album.', True)
('A alternative rock album is a rock & roll album.', 'A alternative rock album is a rock & roll album.', True)
('A instrumental rock album is a music album.', 'A instrumental rock album is a music album.', True)
('A instrumental rock album is a rock & roll album.', 'A instrumental rock album is a rock & roll album.', True)
('A space rock album is a music album.', 'A space rock album is a music album.', True)
('A space rock album is a rock & roll album.', 'A space rock album is a rock & roll album.', True)
('A psychadelic rock album is a music album.', 'A psychadelic rock album is a music album.', True)
('A psychadelic rock album is a rock & roll album.', 'A psychadelic rock album is a rock & roll album.', True)
('A hard rock album is a music album.', 'A hard rock album is a music album.', True)
('A hard rock album is a rock & roll album.', 'A hard rock album is a rock & roll album.', True)
('A soft rock album is a music album.', 'A soft rock album is a music album.', True)
('A soft rock album is a rock & roll album.', 'A soft rock album is a rock & roll album.', True)
('A punk rock album is a music album.', 'A punk rock album is a music album.', True)
('A punk rock album is a rock & roll album.', 'A punk rock album is a rock & roll album.', True)
('A folk rock album is a music album.', 'A folk rock album is a music album.', True)
('A folk rock album is a rock & roll album.', 'A folk rock album is a rock & roll album.', True)
('A progressive rock album is a music album.', 'A progressive rock album is a music album.', True)
('A progressive rock album is a rock & roll album.', 'A progressive rock album is a rock & roll album.', True)
('A psychedelic rock album is a music album.', 'A psychedelic rock album is a music album.', True)
('A psychedelic rock album is a rock & roll album.', 'A psychedelic rock album is a rock & roll album.', True)
('A symphonic rock album is a music album.', 'A symphonic rock album is a music album.', True)
('A symphonic rock album is a rock & roll album.', 'A symphonic rock album is a rock & roll album.', True)
('A blues album is a music album.', 'A blues album is a music album.', True)
('A country album is a music album.', 'A country album is a music album.', True)
('A dance album is a music album.', 'A dance album is a music album.', True)
('A disco album is a music album.', 'A disco album is a music album.', True)
('A funk album is a music album.', 'A funk album is a music album.', True)
('A grunge album is a music album.', 'A grunge album is a music album.', True)
('A hip-hop album is a music album.', 'A hip-hop album is a music album.', True)
('A jazz album is a music album.', 'A jazz album is a music album.', True)
('A metal album is a music album.', 'A metal album is a music album.', True)
('A death metal album is a music album.', 'A death metal album is a music album.', True)
('A death metal album is a metal album.', 'A death metal album is a metal album.', True)
('A heavy metal album is a music album.', 'A heavy metal album is a music album.', True)
('A heavy metal album is a metal album.', 'A heavy metal album is a metal album.', True)
('A black metal album is a music album.', 'A black metal album is a music album.', True)
('A black metal album is a metal album.', 'A black metal album is a metal album.', True)
('A thrash metal album is a music album.', 'A thrash metal album is a music album.', True)
('A thrash metal album is a metal album.', 'A thrash metal album is a metal album.', True)
('A proto-metal album is a music album.', 'A proto-metal album is a music album.', True)
('A proto-metal album is a metal album.', 'A proto-metal album is a metal album.', True)
('A new age album is a music album.', 'A new age album is a music album.', True)
('A oldies album is a music album.', 'A oldies album is a music album.', True)
('A pop album is a music album.', 'A pop album is a music album.', True)
('A r&b album is a music album.', 'A r&b album is a music album.', True)
('A rap album is a music album.', 'A rap album is a music album.', True)
('A reggae album is a music album.', 'A reggae album is a music album.', True)
('A techno album is a music album.', 'A techno album is a music album.', True)
('A ska album is a music album.', 'A ska album is a music album.', True)
('A classical album is a music album.', 'A classical album is a music album.', True)
('A instrumental album is a music album.', 'A instrumental album is a music album.', True)
('A bass album is a music album.', 'A bass album is a music album.', True)
('A soul album is a music album.', 'A soul album is a music album.', True)
('A punk album is a music album.', 'A punk album is a music album.', True)
('A gothic album is a music album.', 'A gothic album is a music album.', True)
('A darkwave album is a music album.', 'A darkwave album is a music album.', True)
('A electronic album is a music album.', 'A electronic album is a music album.', True)
('A rave album is a music album.', 'A rave album is a music album.', True)
('A showtunes album is a music album.', 'A showtunes album is a music album.', True)
('A lo-fi album is a music album.', 'A lo-fi album is a music album.', True)
('A polka album is a music album.', 'A polka album is a music album.', True)
('A retro album is a music album.', 'A retro album is a music album.', True)
('A folk album is a music album.', 'A folk album is a music album.', True)
('A bluegrass album is a music album.', 'A bluegrass album is a music album.', True)
('A big band album is a music album.', 'A big band album is a music album.', True)
('A opera album is a music album.', 'A opera album is a music album.', True)
('A symphony album is a music album.', 'A symphony album is a music album.', True)
('A club music album is a music album.', 'A club music album is a music album.', True)
('A tango album is a music album.', 'A tango album is a music album.', True)
('A samba album is a music album.', 'A samba album is a music album.', True)
('A ballad album is a music album.', 'A ballad album is a music album.', True)
('A acapella album is a music album.', 'A acapella album is a music album.', True)
('A salsa album is a music album.', 'A salsa album is a music album.', True)
('A jpop album is a music album.', 'A jpop album is a music album.', True)
('A synthpop album is a music album.', 'A synthpop album is a music album.', True)
('A eukaryote is a lifeform.', 'A eukaryote is a lifeform.', True)
('A animal is a lifeform.', 'A animal is a lifeform.', True)
('A animal is a eukaryote.', 'A animal is a eukaryote.', True)
('A aardvark is a lifeform.', 'A aardvark is a lifeform.', True)
('A aardvark is a eukaryote.', 'A aardvark is a eukaryote.', True)
('A aardvark is a animal.', 'A aardvark is a animal.', True)
('A albatross is a lifeform.', 'A albatross is a lifeform.', True)
('A albatross is a eukaryote.', 'A albatross is a eukaryote.', True)
('A albatross is a animal.', 'A albatross is a animal.', True)
('A alligator is a lifeform.', 'A alligator is a lifeform.', True)
('A alligator is a eukaryote.', 'A alligator is a eukaryote.', True)
('A alligator is a animal.', 'A alligator is a animal.', True)
('A alpaca is a lifeform.', 'A alpaca is a lifeform.', True)
('A alpaca is a eukaryote.', 'A alpaca is a eukaryote.', True)
('A alpaca is a animal.', 'A alpaca is a animal.', True)
('A ant is a lifeform.', 'A ant is a lifeform.', True)
('A ant is a eukaryote.', 'A ant is a eukaryote.', True)
('A ant is a animal.', 'A ant is a animal.', True)
('A anteater is a lifeform.', 'A anteater is a lifeform.', True)
('A anteater is a eukaryote.', 'A anteater is a eukaryote.', True)
('A anteater is a animal.', 'A anteater is a animal.', True)
('A antelope is a lifeform.', 'A antelope is a lifeform.', True)
('A antelope is a eukaryote.', 'A antelope is a eukaryote.', True)
('A antelope is a animal.', 'A antelope is a animal.', True)
('A ape is a lifeform.', 'A ape is a lifeform.', True)
('A ape is a eukaryote.', 'A ape is a eukaryote.', True)
('A ape is a animal.', 'A ape is a animal.', True)
('A armadillo is a lifeform.', 'A armadillo is a lifeform.', True)
('A armadillo is a eukaryote.', 'A armadillo is a eukaryote.', True)
('A armadillo is a animal.', 'A armadillo is a animal.', True)
('A donkey is a lifeform.', 'A donkey is a lifeform.', True)
('A donkey is a eukaryote.', 'A donkey is a eukaryote.', True)
('A donkey is a animal.', 'A donkey is a animal.', True)
('A baboon is a lifeform.', 'A baboon is a lifeform.', True)
('A baboon is a eukaryote.', 'A baboon is a eukaryote.', True)
('A baboon is a animal.', 'A baboon is a animal.', True)
('A badger is a lifeform.', 'A badger is a lifeform.', True)
('A badger is a eukaryote.', 'A badger is a eukaryote.', True)
('A badger is a animal.', 'A badger is a animal.', True)
('A barracuda is a lifeform.', 'A barracuda is a lifeform.', True)
('A barracuda is a eukaryote.', 'A barracuda is a eukaryote.', True)
('A barracuda is a animal.', 'A barracuda is a animal.', True)
('A bat is a lifeform.', 'A bat is a lifeform.', True)
('A bat is a eukaryote.', 'A bat is a eukaryote.', True)
('A bat is a animal.', 'A bat is a animal.', True)
('A bear is a lifeform.', 'A bear is a lifeform.', True)
('A bear is a eukaryote.', 'A bear is a eukaryote.', True)
('A bear is a animal.', 'A bear is a animal.', True)
('A beaver is a lifeform.', 'A beaver is a lifeform.', True)
('A beaver is a eukaryote.', 'A beaver is a eukaryote.', True)
('A beaver is a animal.', 'A beaver is a animal.', True)
('A bee is a lifeform.', 'A bee is a lifeform.', True)
('A bee is a eukaryote.', 'A bee is a eukaryote.', True)
('A bee is a animal.', 'A bee is a animal.', True)
('A bison is a lifeform.', 'A bison is a lifeform.', True)
('A bison is a eukaryote.', 'A bison is a eukaryote.', True)
('A bison is a animal.', 'A bison is a animal.', True)
('A boar is a lifeform.', 'A boar is a lifeform.', True)
('A boar is a eukaryote.', 'A boar is a eukaryote.', True)
('A boar is a animal.', 'A boar is a animal.', True)
('A buffalo is a lifeform.', 'A buffalo is a lifeform.', True)
('A buffalo is a eukaryote.', 'A buffalo is a eukaryote.', True)
('A buffalo is a animal.', 'A buffalo is a animal.', True)
('A butterfly is a lifeform.', 'A butterfly is a lifeform.', True)
('A butterfly is a eukaryote.', 'A butterfly is a eukaryote.', True)
('A butterfly is a animal.', 'A butterfly is a animal.', True)
('A camel is a lifeform.', 'A camel is a lifeform.', True)
('A camel is a eukaryote.', 'A camel is a eukaryote.', True)
('A camel is a animal.', 'A camel is a animal.', True)
('A capybara is a lifeform.', 'A capybara is a lifeform.', True)
('A capybara is a eukaryote.', 'A capybara is a eukaryote.', True)
('A capybara is a animal.', 'A capybara is a animal.', True)
('A caribou is a lifeform.', 'A caribou is a lifeform.', True)
('A caribou is a eukaryote.', 'A caribou is a eukaryote.', True)
('A caribou is a animal.', 'A caribou is a animal.', True)
('A cassowary is a lifeform.', 'A cassowary is a lifeform.', True)
('A cassowary is a eukaryote.', 'A cassowary is a eukaryote.', True)
('A cassowary is a animal.', 'A cassowary is a animal.', True)
('A cat is a lifeform.', 'A cat is a lifeform.', True)
('A cat is a eukaryote.', 'A cat is a eukaryote.', True)
('A cat is a animal.', 'A cat is a animal.', True)
('A abyssinian cat is a lifeform.', 'A abyssinian cat is a lifeform.', True)
('A abyssinian cat is a eukaryote.', 'A abyssinian cat is a eukaryote.', True)
('A abyssinian cat is a animal.', 'A abyssinian cat is a animal.', True)
('A abyssinian cat is a cat.', 'A abyssinian cat is a cat.', True)
('A aegean cat is a lifeform.', 'A aegean cat is a lifeform.', True)
('A aegean cat is a eukaryote.', 'A aegean cat is a eukaryote.', True)
('A aegean cat is a animal.', 'A aegean cat is a animal.', True)
('A aegean cat is a cat.', 'A aegean cat is a cat.', True)
('A american curl is a lifeform.', 'A american curl is a lifeform.', True)
('A american curl is a eukaryote.', 'A american curl is a eukaryote.', True)
('A american curl is a animal.', 'A american curl is a animal.', True)
('A american curl is a cat.', 'A american curl is a cat.', True)
('A american bobtail is a lifeform.', 'A american bobtail is a lifeform.', True)
('A american bobtail is a eukaryote.', 'A american bobtail is a eukaryote.', True)
('A american bobtail is a animal.', 'A american bobtail is a animal.', True)
('A american bobtail is a cat.', 'A american bobtail is a cat.', True)
('A american shorthair is a lifeform.', 'A american shorthair is a lifeform.', True)
('A american shorthair is a eukaryote.', 'A american shorthair is a eukaryote.', True)
('A american shorthair is a animal.', 'A american shorthair is a animal.', True)
('A american shorthair is a cat.', 'A american shorthair is a cat.', True)
('A american wirehair is a lifeform.', 'A american wirehair is a lifeform.', True)
('A american wirehair is a eukaryote.', 'A american wirehair is a eukaryote.', True)
('A american wirehair is a animal.', 'A american wirehair is a animal.', True)
('A american wirehair is a cat.', 'A american wirehair is a cat.', True)
('A arabian mau is a lifeform.', 'A arabian mau is a lifeform.', True)
('A arabian mau is a eukaryote.', 'A arabian mau is a eukaryote.', True)
('A arabian mau is a animal.', 'A arabian mau is a animal.', True)
('A arabian mau is a cat.', 'A arabian mau is a cat.', True)
('A australian mist is a lifeform.', 'A australian mist is a lifeform.', True)
